;CCt;;;;;;;CCf;;
;;;;;;;;;;
Food Count;;Alpha = 1,0;Alpha = 2,0;;;;Food Count;Alpha = 0,5;;Alpha = 2,0
1.0;;5432;11068;;;;1.0;16251;;10278
2.0;;7572;14515;;;;2.0;21922;;18834
3.0;;8923;19630;;;;3.0;30338;;20837
4.0;;9983;22097;;;;4.0;31186;;24730
5.0;;10871;23649;;;;5.0;30892;;25730
6.0;;13028;27779;;;;6.0;34529;;25663
7.0;;13696;30822;;;;7.0;39577;;30681
8.0;;14184;34405;;;;8.0;44119;;34760
9.0;;15532;33096;;;;9.0;41151;;35977
10.0;;15498;33254;;;;10.0;43852;;36396
11.0;;14929;34129;;;;11.0;53498;;39256
12.0;;17316;39355;;;;12.0;47441;;39817
13.0;;16517;38318;;;;13.0;49616;;43338
14.0;;16961;39173;;;;14.0;57299;;39033
15.0;;16218;39120;;;;15.0;51939;;39831
16.0;;18345;40482;;;;16.0;54384;;41934
17.0;;17574;41919;;;;17.0;56489;;44827
18.0;;17174;43046;;;;18.0;59242;;46179
19.0;;18761;44927;;;;19.0;54074;;44238
20.0;;18339;46853;;;;20.0;65632;;43975
21.0;;19790;43903;;;;21.0;63192;;44410
22.0;;20142;43105;;;;22.0;64234;;45004
23.0;;19194;41987;;;;23.0;60775;;48027
24.0;;20620;48732;;;;24.0;60669;;47787
25.0;;19338;48456;;;;25.0;64689;;46857
26.0;;19227;48995;;;;26.0;62572;;49264
27.0;;21339;46449;;;;27.0;70143;;53931
28.0;;20261;47213;;;;28.0;63201;;51783
29.0;;20974;47126;;;;29.0;67620;;51569
30.0;;22170;52023;;;;30.0;66033;;50063
31.0;;20879;55248;;;;31.0;69250;;50926
32.0;;20481;48241;;;;32.0;71973;;53864
33.0;;22583;48942;;;;33.0;72471;;54981
34.0;;22015;51945;;;;34.0;74480;;52487
35.0;;22225;50908;;;;35.0;73243;;55209
36.0;;22411;51605;;;;36.0;71697;;53686
37.0;;24207;51072;;;;37.0;74240;;56846
38.0;;22877;52834;;;;38.0;69409;;58078
39.0;;23253;52711;;;;39.0;74363;;56500
40.0;;24485;56323;;;;40.0;72215;;55788
41.0;;21489;54246;;;;41.0;77475;;60301
42.0;;22927;55291;;;;42.0;73501;;56624
43.0;;23687;55928;;;;43.0;79427;;56771
44.0;;22304;54793;;;;44.0;76348;;57506
45.0;;23655;53804;;;;45.0;77692;;62910
46.0;;24295;55034;;;;46.0;80249;;55743
47.0;;22949;59524;;;;47.0;77573;;57123
48.0;;24668;55212;;;;48.0;70280;;55250
49.0;;23521;54746;;;;49.0;77404;;56125
50.0;;24199;53436;;;;50.0;74149;;56280
51.0;;24364;54752;;;;51.0;78375;;55069
52.0;;24165;56109;;;;52.0;71855;;60116
53.0;;24800;56325;;;;53.0;81752;;56653
54.0;;26282;58695;;;;54.0;79159;;61104
55.0;;24776;57383;;;;55.0;87472;;58016
56.0;;24308;56212;;;;56.0;80293;;59377
57.0;;24745;58915;;;;57.0;78940;;60436
58.0;;25298;59307;;;;58.0;78776;;59623
59.0;;24049;54982;;;;59.0;82478;;59759
60.0;;25741;55728;;;;60.0;80423;;58265
61.0;;25019;57129;;;;61.0;85155;;61400
62.0;;24167;57897;;;;62.0;79866;;61615
63.0;;26165;61117;;;;63.0;78079;;59322
64.0;;24863;60490;;;;64.0;76091;;63863
65.0;;26458;58161;;;;65.0;81670;;60053
66.0;;24343;58601;;;;66.0;82708;;60731
67.0;;25186;60019;;;;67.0;86641;;62941
68.0;;25017;61495;;;;68.0;84734;;62942
69.0;;26357;62955;;;;69.0;82568;;63357
70.0;;26091;57426;;;;70.0;88660;;63205
71.0;;25677;60973;;;;71.0;88685;;60985
72.0;;25216;64358;;;;72.0;88797;;70560
73.0;;25493;58294;;;;73.0;87421;;63683
74.0;;26178;61052;;;;74.0;82290;;67035
75.0;;25356;60959;;;;75.0;83423;;66821
76.0;;27532;56789;;;;76.0;84956;;64553
77.0;;25358;65964;;;;77.0;85503;;69612
78.0;;27672;62771;;;;78.0;86574;;65967
79.0;;26434;59409;;;;79.0;87290;;64119
80.0;;26673;62976;;;;80.0;84643;;60775
81.0;;26003;64140;;;;81.0;85296;;64777
82.0;;26788;64423;;;;82.0;88471;;63354
83.0;;27145;62141;;;;83.0;90014;;63266
84.0;;26277;65299;;;;84.0;90002;;66053
85.0;;26870;66525;;;;85.0;86058;;61251
86.0;;26438;59356;;;;86.0;88371;;66650
87.0;;27855;67455;;;;87.0;93264;;73622
88.0;;27610;61717;;;;88.0;87186;;65173
89.0;;27259;66282;;;;89.0;91263;;63126
90.0;;26743;62375;;;;90.0;88294;;64907
91.0;;27481;65195;;;;91.0;93132;;64568
92.0;;26099;62901;;;;92.0;89486;;66463
93.0;;29189;64521;;;;93.0;93184;;67559
94.0;;28103;65909;;;;94.0;91859;;65594
95.0;;28845;65788;;;;95.0;97623;;74360
96.0;;28304;65474;;;;96.0;85942;;67655
97.0;;27514;66448;;;;97.0;95380;;69598
98.0;;28723;63065;;;;98.0;94113;;66190
99.0;;27367;63840;;;;99.0;86838;;66247
100.0;;28167;61961;;;;100.0;93785;;64849
101.0;;29232;64946;;;;101.0;92269;;66399
