value;1;2
1.0;349;179
2.0;606;128
3.0;629;108
4.0;427;147
5.0;368;181
6.0;265;181
7.0;275;164
8.0;553;163
9.0;469;249
10.0;339;142
11.0;356;118
12.0;278;159
13.0;490;161
14.0;221;171
15.0;305;127
16.0;351;146
17.0;398;177
18.0;353;154
19.0;507;149
20.0;379;161
21.0;408;167
22.0;303;125
23.0;337;194
24.0;455;150
25.0;486;144
26.0;323;146
27.0;381;155
28.0;332;141
29.0;405;141
30.0;358;126
31.0;390;161
32.0;349;182
33.0;388;150
34.0;391;133
35.0;420;203
36.0;346;155
37.0;395;128
38.0;406;156
39.0;493;155
40.0;438;161
41.0;360;157
42.0;411;160
43.0;400;177
44.0;460;162
45.0;388;153
46.0;365;151
47.0;448;179
48.0;409;151
49.0;386;171
50.0;361;145
51.0;424;153
52.0;321;150
53.0;374;135
54.0;446;169
55.0;454;164
56.0;313;170
57.0;330;169
58.0;347;155
59.0;411;184
60.0;438;158
61.0;403;147
62.0;389;142
63.0;472;158
64.0;372;187
65.0;414;171
66.0;385;164
67.0;423;153
68.0;347;151
69.0;414;155
70.0;342;152
71.0;489;156
72.0;383;155
73.0;434;153
74.0;390;139
75.0;358;156
76.0;423;158
77.0;412;164
78.0;347;150
79.0;411;168
80.0;351;149
81.0;394;161
82.0;363;142
83.0;432;147
84.0;347;153
85.0;418;158
86.0;337;176
87.0;395;177
88.0;392;142
89.0;438;156
90.0;403;132
91.0;370;133
92.0;380;161
93.0;425;165
94.0;350;141
95.0;404;167
96.0;396;155
97.0;459;169
98.0;384;129
99.0;398;154
100.0;386;145
101.0;353;148
